Product Type,Title,Description,SKU,Regular Price,Stock,Categories,Tags,Visibility,URL Slug,Images
Physical,Shell Pendant Necklace,"A Northern California naturally sculpted coastal shell pendant with organic mineral patterning and ocean-polished edges. (18”, 18kt gold-plated necklace)",2400,111,1,Shell Necklaces,Jewelry,Public,/shell-necklace-1,/Users/rosie/Documents/Shell Necklaces/1.JPG;/Users/rosie/Documents/Shell Necklaces/1-2.JPG
Physical,Shell Pendant Necklace,"A Northern California naturally sculpted coastal shell pendant with organic mineral patterning and ocean-polished edges. (18”, 18kt gold-plated necklace)",2401,111,1,Shell Necklaces,Jewelry,Public,/shell-necklace-2,/Users/rosie/Documents/Shell Necklaces/2.JPG;/Users/rosie/Documents/Shell Necklaces/2-2.JPG
